id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-424646,2019-03-29,000001,Vente en l'état futur d'achèvement,161000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,32,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424647,2019-03-27,000001,Vente en l'état futur d'achèvement,199000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,27,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424647,2019-03-27,000001,Vente en l'état futur d'achèvement,199000,6,,RUE ALEXANDRE FLEMING,0005,95460,95229,Ézanville,95,,,95229000AI0385,,,251,,,,,,,,,,1,,,,,,,,,,2.352747,49.032816
2019-424648,2019-04-08,000001,Vente,178000,24,,AV BALZAC,0120,95400,95019,Arnouville,95,,,95019000AK0022,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,494,2.403107,48.987317
2019-424649,2019-03-27,000001,Vente en l'état futur d'achèvement,277000,,,LA PLAINE DES FOSSETTES,B036,95330,95199,Domont,95,,,95199000AL0255,,,132,,,,,,,,,,1,,,,,,,,,,2.338765,49.031226
2019-424649,2019-03-27,000001,Vente en l'état futur d'achèvement,277000,,,LA PLAINE DES FOSSETTES,B036,95330,95199,Domont,95,,,95199000AL0255,,,43,,,,,,,,,,1,,,,,,,,,,2.338765,49.031226
2019-424649,2019-03-27,000001,Vente en l'état futur d'achèvement,277000,,,LA PLAINE DES FOSSETTES,B036,95330,95199,Domont,95,,,95199000AL0255,,,130,,,,,,,,,,1,,,,,,,,,,2.338765,49.031226
2019-424650,2019-04-02,000001,Vente,310000,32,,AV MARX DORMOY,1670,95200,95585,Sarcelles,95,,,95585000AL0432,,,,,,,,,,,,,0,1,Maison,134,6,S,sols,,,688,2.381604,49.001304
2019-424651,2019-04-12,000001,Vente,330000,12,B,RUE CHARLES DEPUILLE,0344,95270,95149,Chaumontel,95,,,95149000AB0179,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,377,2.427621,49.12832
2019-424651,2019-04-12,000001,Vente,330000,7,,RUE HENRI DUNANT,0562,95270,95149,Chaumontel,95,,,95149000AB0188,,,,,,,,,,,,,0,1,Maison,140,7,S,sols,,,495,2.429027,49.128041
2019-424651,2019-04-12,000001,Vente,330000,,,RTE NATIONALE 16,0580,95270,95149,Chaumontel,95,,,95149000AB0264,,,,,,,,,,,,,0,,,,,S,sols,,,398,2.430186,49.127712
2019-424651,2019-04-12,000001,Vente,330000,,,RUE CHARLES BAUDELAIRE,0342,95270,95149,Chaumontel,95,,,95149000AB0265,,,,,,,,,,,,,0,,,,,S,sols,,,2292,2.426294,49.129578
2019-424651,2019-04-12,000001,Vente,330000,,,RUE HENRI DUNANT,0562,95270,95149,Chaumontel,95,,,95149000AB0266,,,,,,,,,,,,,0,,,,,S,sols,,,5761,2.428421,49.128502
2019-424652,2019-04-16,000001,Vente,225000,14,,AV BERANGER,0150,95400,95019,Arnouville,95,,,95019000AB0052,,,,,,,,,,,,,0,1,Maison,57,3,S,sols,,,420,2.410959,48.992505
2019-424653,2019-04-15,000001,Vente,155000,6,B,AV PIERRE BROSSOLETTE,0980,95400,95019,Arnouville,95,,,95019000AC0040,,,,,,,,,,,,,0,1,Maison,52,3,S,sols,,,117,2.418684,48.987475
2019-424654,2019-04-15,000001,Vente,11000,3,,AV PIERRE CURIE,0990,95400,95019,Arnouville,95,,,95019000AD0210,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.419959,48.98605
2019-424655,2019-04-08,000001,Vente,9500,13,,RUE LOUIS DEMOLLIENS,0540,95400,95680,Villiers-le-Bel,95,,,95680000AV0704,,,2034,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.386619,49.007245
2019-424656,2019-04-01,000001,Vente,170000,10,,ALL DES PEUPLIERS,0744,95400,95680,Villiers-le-Bel,95,,,95680000AN0672,,,1224,,197,82.37,200,,,,,,3,1,Maison,83,4,,,,,,2.408818,48.99634
2019-424657,2019-04-10,000001,Vente,149000,45,,RUE GAL LECLERC,0450,95500,95277,Gonesse,95,,,95277000AK0076,,,117,,166,48.17,,,,,,,2,2,Appartement,46,2,,,,,,2.446139,48.987418
2019-424657,2019-04-10,000001,Vente,149000,39,,RUE GAL LECLERC,0450,95500,95277,Gonesse,95,,,95277000AK0076,,,78,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.446139,48.987418
2019-424658,2019-03-30,000001,Vente,203000,1,,RUE LAMARTINE,0195,95380,95351,Louvres,95,,,95351000AD0133,,,,,,,,,,,,,0,1,Maison,70,4,S,sols,,,44,2.501002,49.04231
2019-424659,2019-04-18,000001,Vente,160000,7,,RUE CHARLES PEGUY,0085,95380,95351,Louvres,95,,,95351000AE0427,,,28,61.42,,,,,,,,,1,2,Appartement,64,3,,,,,,2.506616,49.047154
2019-424659,2019-04-18,000001,Vente,160000,9001,,RUE CHARLES PEGUY,0085,95380,95351,Louvres,95,,,95351000AE0427,,,181,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.506616,49.047154
2019-424660,2019-03-27,000001,Vente,2400000,93,,AV DIVISION LECLERC,0190,95140,95268,Garges-lès-Gonesse,95,,,95268000AZ0165,,,,,,,,,,,,,0,,,,,S,sols,,,1065,2.398643,48.968831
2019-424660,2019-03-27,000001,Vente,2400000,93,,AV DIVISION LECLERC,0190,95140,95268,Garges-lès-Gonesse,95,,,95268000AZ0171,,,,,,,,,,,,,0,,,,,S,sols,,,765,2.39852,48.968725
2019-424661,2019-03-27,000001,Vente,6528,,,LES RUETS,B030,95470,95604,Survilliers,95,,,956040000B0309,,,,,,,,,,,,,0,,,,,T,terres,,,2604,2.557981,49.101335
2019-424662,2019-03-29,000001,Vente,113000,5,,ALL WATTEAU,2465,95200,95585,Sarcelles,95,,,95585000AX0252,,,151,,52,67.01,,,,,,,2,2,Appartement,68,4,,,,,,2.388627,48.980376
2019-424663,2019-03-29,000001,Vente,115654,5,,RUE ROBERT DESNOS,0748,95330,95199,Domont,95,,,95199000AL0045,,,77,18.45,,,,,,,,,1,2,Appartement,20,1,,,,,,2.338788,49.02973
2019-424663,2019-03-29,000001,Vente,115654,5,,RUE ROBERT DESNOS,0748,95330,95199,Domont,95,,,95199000AL0045,,,78,19.68,,,,,,,,,1,2,Appartement,20,1,,,,,,2.338788,49.02973
2019-424664,2019-03-29,000001,Vente,30000,,,N DOMONT A NEUILLY SUR MARNE,0265,95500,95277,Gonesse,95,,,95277000ZO0123,,,,,,,,,,,,,0,,,,,T,terres,,,5586,2.465746,48.965945
